YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1958   -7.9   -4.2   -4.7   -4.0    1.9    6.1    8.7    7.5    4.4   -0.4  999.9   -2.8    -6.2    -2.3     7.4     0.2   -0.21
1959   -3.2   -9.9   -9.8   -1.4    2.8    5.3    7.2    6.3    3.4   -0.2  999.9   -7.4    -5.3    -2.8     6.3    -0.2   -0.52
1960   -5.6   -6.1   -8.1   -4.4    2.3    5.0    8.5    9.3    4.4    3.9    1.7   -5.2    -6.4    -3.4     7.6     3.3    0.29
1961   -6.1  -10.9  -10.4   -2.3    1.1    5.3    6.9    6.9    3.7    0.2   -3.8   -3.2    -7.4    -3.9     6.4     0.0   -1.22
1962   -6.7   -7.9   -0.9   -2.9    2.4    4.9    7.0    6.9    4.3    0.0   -2.7   -4.9    -5.9    -0.5     6.3     0.5    0.10
1963   -3.6   -3.0   -6.4   -1.6   -0.9    3.8    6.1    7.2    2.1   -2.5   -4.1   -2.3    -3.8    -3.0     5.7    -1.5   -0.65
1964   -4.8   -3.5  -12.0   -3.7    0.4    3.7    5.4    7.3    5.5   -0.7   -3.8   -5.6    -3.5    -5.1     5.5     0.3   -0.71
1965   -7.6   -3.2   -3.7   -3.1    3.2    5.1    8.3    7.1    4.0   -0.3   -1.5   -5.9    -5.5    -1.2     6.8     0.7    0.23
1966   -7.1   -4.2   -7.4   -2.4    0.5    3.5    7.3    7.6    4.8    3.2   -2.6   -7.2    -5.7    -3.1     6.1     1.8   -0.22
1967   -3.5   -9.5  -11.7   -6.8    1.6    3.2    6.4    6.1    3.1   -1.7   -4.6   -6.1    -6.7    -5.6     5.2    -1.1   -2.05
1968   -7.8   -4.9  -10.4   -1.8    2.2    4.0    7.8    5.0    3.7    0.1   -3.5   -4.9    -6.3    -3.3     5.6     0.1   -0.97
1969   -4.0   -3.6   -5.9   -4.1    0.8    3.4    5.2    5.1    1.9   -0.9   -2.9   -7.0    -4.2    -3.1     4.6    -0.6   -0.82
1970   -7.0   -6.3   -4.3   -3.5   -1.4    2.7    5.0    5.1    3.3   -0.6   -3.9   -6.0    -6.8    -3.1     4.3    -0.4   -1.49
1971   -7.6  -11.4   -6.4   -4.4   -0.1    4.5    7.6    5.7    3.1   -0.9   -4.0  -12.8    -8.3    -3.6     5.9    -0.6   -1.66
1972  -13.1   -9.0  -12.0   -4.7    0.1    1.5    4.5    4.9    3.8   -0.5   -5.4   -7.4   -11.6    -5.5     3.6    -0.7   -3.56
1973   -6.5  -11.3   -9.2   -2.1   -0.4    3.2    6.7    6.7    4.7    0.2   -1.7   -4.8    -8.4    -3.9     5.5     1.1   -1.42
1974   -8.2   -6.8   -5.9   -4.5    1.8    5.8    7.5    6.9    3.5    0.8   -3.9  -11.4    -6.6    -2.9     6.7     0.1   -0.65
1975  -10.7   -7.4   -6.9   -3.0    1.6    4.6    6.3    6.9    2.9    0.3   -3.6   -6.8    -9.8    -2.8     5.9    -0.1   -1.70
1976   -8.1  -10.8  -10.9   -4.1    1.3    4.5    6.5    4.5    4.5   -1.2   -2.8   -3.1    -8.6    -4.6     5.2     0.2   -1.95
1977   -3.0   -5.1   -4.2   -2.2    2.1    4.8    8.5    7.0    2.9   -1.0   -1.3   -5.8    -3.7    -1.4     6.8     0.2    0.45
1978   -8.7   -4.8   -9.2   -2.9   -0.6    2.6    7.1    6.6    4.1   -0.7   -6.4    0.0    -6.4    -4.2     5.4    -1.0   -1.56
1979   -4.4   -4.5   -7.3   -1.5    2.1    3.8    6.6    6.6    3.9   -0.1   -5.8   -7.3    -3.0    -2.2     5.7    -0.7   -0.05
1980   -2.4   -6.6   -5.3   -5.5    1.3    3.6    6.5    6.4    3.9    0.4   -2.3   -5.6    -5.4    -3.2     5.5     0.7   -0.61
1981   -6.4   -8.6   -5.6   -4.0   -0.1    4.3    6.8    5.1    4.0   -0.9   -4.8   -3.8    -6.9    -3.2     5.4    -0.6   -1.32
1982  999.9  -12.9  -10.8   -4.7   -0.6    3.1    5.5    4.9    1.3   -1.5   -6.0   -9.8    -8.6    -5.4     4.5    -2.1   -2.88
